Time,P1_x,P1_y,P2_x,P2_y,P3_x,P3_y,angle1to2,angle2to3,jointAngle
1.8184833333333335,544.77374,473.04718,725.8723,467.2015,989.5578,730.11786,-1.8488058,44.916317,-46.76512
1.8351666666666666,544.75256,473.03656,725.8626,467.20673,989.5198,730.08685,-1.8436834,44.915443,-46.75913
1.85185,544.7859,473.0427,725.87213,467.183,989.5116,730.083,-1.8533589,44.919533,-46.772892
1.8685333333333334,544.7935,473.0376,725.9249,467.19257,989.51495,730.0865,-1.8482683,44.92424,-46.772507
1.8852166666666668,544.7819,473.0288,725.9116,467.18887,989.5609,730.065,-1.8466754,44.915863,-46.76254
1.9019,544.8134,473.0405,725.91956,467.19055,989.5641,730.0832,-1.8500789,44.91818,-46.768257
1.9185833333333333,544.80096,473.04202,725.9127,467.1781,989.5535,730.0927,-1.8544388,44.92098,-46.775417
1.9352666666666667,544.79816,473.02045,725.91736,467.17792,989.54663,730.0782,-1.8476021,44.92067,-46.768272
1.95195,544.7682,473.04602,725.91254,467.18564,989.56305,730.0889,-1.8529867,44.91869,-46.771675
1.9686333333333335,544.76447,473.0276,725.9126,467.1857,989.5642,730.08813,-1.8471048,44.918476,-46.76558
1.9853166666666666,544.77094,472.9953,725.90405,467.1884,989.5486,730.0828,-1.8362064,44.918373,-46.754578
2.0020000000000002,544.7796,473.02518,725.9024,467.18774,989.54285,730.0768,-1.8459548,44.918232,-46.764187
2.018683333333333,544.8343,473.03647,725.9404,467.20206,989.5647,730.0942,-1.8451698,44.920326,-46.765495
2.0353666666666665,544.8144,473.004,725.93994,467.20374,989.5739,730.09265,-1.8341808,44.918922,-46.753105
2.05205,544.83264,473.01706,725.9376,467.21442,989.572,730.08417,-1.8351413,44.916786,-46.751926
2.0687333333333333,544.8853,473.00006,725.9317,467.20178,989.57153,730.087,-1.8343552,44.91788,-46.752235
2.0854166666666667,544.87555,473.00705,725.94434,467.22,989.57745,730.09534,-1.8305783,44.917534,-46.74811
2.1021,544.8799,473.0257,725.9604,467.20593,989.5743,730.1013,-1.8408005,44.92181,-46.76261
2.1187833333333335,544.87744,473.02283,725.96704,467.2066,989.59357,730.1097,-1.8395895,44.921272,-46.76086
2.135466666666667,544.84863,472.986,725.9824,467.20734,989.5787,730.0902,-1.8272699,44.922363,-46.749634
2.1521500000000002,544.84344,472.99323,725.9491,467.19992,989.5794,730.08685,-1.8321832,44.9191,-46.751286
2.168833333333333,544.89404,473.02075,725.9557,467.20645,989.5797,730.08844,-1.8392655,44.91925,-46.758514
2.1855166666666666,544.88153,473.01617,725.95496,467.2028,989.58453,730.0903,-1.8388565,44.919243,-46.7581
2.2022,544.88983,473.03638,725.9697,467.19083,989.57983,730.0999,-1.8489578,44.923714,-46.77267
2.2188833333333333,544.89404,473.0371,725.96747,467.18964,989.5975,730.0988,-1.8496315,44.921562,-46.771194
2.2355666666666667,544.8857,473.0043,725.9635,467.1895,989.5878,730.0884,-1.8392557,44.92105,-46.760307
2.25225,544.88605,473.02432,726.00714,467.1855,989.5911,730.09216,-1.8464159,44.926292,-46.77271
2.2689333333333335,544.88586,473.0346,726.04004,467.21558,989.6026,730.1106,-1.8398211,44.927345,-46.767166
2.285616666666667,544.8925,473.03836,726.0095,467.19864,989.6169,730.1354,-1.8467373,44.927025,-46.77376
2.3023000000000002,544.9268,473.04138,725.9682,467.19214,989.6209,730.127,-1.8505182,44.92189,-46.772408
2.318983333333333,544.9206,473.00793,726.0062,467.19592,989.60156,730.1079,-1.8382986,44.925636,-46.763935
2.3356666666666666,544.92487,473.01407,726.0136,467.21207,989.60895,730.1067,-1.8351032,44.923744,-46.758846
2.35235,544.93176,473.0308,726.01404,467.21292,989.61694,730.1129,-1.8401846,44.923504,-46.763687
2.3690333333333333,544.93677,473.0402,726.0378,467.19772,989.614,730.1088,-1.8477682,44.927612,-46.77538
2.3857166666666667,544.91876,473.03204,726.0214,467.19846,989.6039,730.10315,-1.8449447,44.92624,-46.771183
2.4024,544.92896,472.99725,726.0196,467.22427,989.59845,730.1005,-1.8259109,44.92353,-46.749443
2.4190833333333335,544.92285,473.03268,726.026,467.2141,989.6157,730.11957,-1.8401946,44.925533,-46.765728
2.435766666666667,544.9366,473.00082,726.0329,467.20145,989.62476,730.1309,-1.834197,44.927917,-46.762115
2.4524500000000002,544.98267,473.01553,726.02716,467.2136,989.6101,730.1052,-1.8355322,44.924763,-46.760296
2.469133333333333,545.0059,473.0088,726.0213,467.21082,989.63885,730.09753,-1.8345727,44.920464,-46.755035
2.4858166666666666,545.00433,472.99188,726.0278,467.20932,989.6377,730.1025,-1.8296182,44.921997,-46.751614
2.5025,544.96246,472.98758,726.06085,467.2284,989.6302,730.0858,-1.821473,44.922512,-46.743984
2.5191833333333333,545.00525,473.03915,726.06433,467.22186,989.6459,730.14355,-1.8402369,44.92819,-46.768425
2.5358666666666667,544.99225,473.02304,726.06616,467.23227,989.6511,730.1424,-1.8317034,44.92656,-46.758263
2.55255,544.97217,473.0114,726.07153,467.19217,989.64465,730.1092,-1.8404452,44.928596,-46.769043
2.5692333333333335,544.9808,473.02295,726.0589,467.203,989.6479,730.11206,-1.8408828,44.926003,-46.766884
2.585916666666667,544.97833,473.02914,726.06024,467.19745,989.65533,730.131,-1.844558,44.92801,-46.772568
2.6026000000000002,545.0154,473.00928,726.0684,467.21033,989.6544,730.13086,-1.8345001,44.92758,-46.76208
2.619283333333333,545.0093,473.02533,726.0654,467.21774,989.6467,730.13007,-1.8371987,44.927197,-46.764397
2.6359666666666666,545.0183,473.0468,726.07764,467.22104,989.6603,730.13605,-1.8429164,44.92734,-46.770256
2.65265,544.99994,473.02975,726.1307,467.23666,989.6675,730.1384,-1.8318622,44.93088,-46.762745
2.6693333333333333,544.99817,473.01846,726.1152,467.21774,989.6697,730.14044,-1.834412,44.93124,-46.76565
2.6860166666666667,544.98303,473.0072,726.11945,467.2447,989.66736,730.1327,-1.8221422,44.928177,-46.75032
2.7027,545.0043,473.0138,726.1211,467.24286,989.67596,730.12726,-1.825001,44.927025,-46.752026
2.7193833333333335,545.00433,473.00165,726.10815,467.22095,989.71765,730.148,-1.8282182,44.92574,-46.753956
2.736066666666667,545.00165,473.0175,726.10284,467.2105,989.71063,730.13446,-1.8365492,44.925583,-46.76213
2.7527500000000003,545.01447,473.00723,726.10754,467.19785,989.7196,730.14575,-1.8373935,44.927727,-46.76512
2.769433333333333,544.99896,473.01508,726.10236,467.21252,989.721,730.1466,-1.8351285,44.92551,-46.76064
